Column1,Column2,Column3,Column4,Column5
glycolipid,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/glycolipid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Emollients', 'Skin-Replenishing']",Best,Type of lipid composed of sugar (monosaccharide) and fat (lipid).
glycol stearate,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/glycol-stearate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Emollients']",Good,"Glycol stearate is a mixture of glycerin and stearic acid used as an emollient, surfactant, and emulsifier. May also be used to impart a pearlescent appearance to a formula.  References for this information: CosmeticsInfo.org, Accessed March 2021, ePublication  MakingCosmetics.com, Accessed March 2021, ePublication  Chemistry and Materials Research, 2015, page 59"
glycoproteins,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/glycoproteins.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Restoring', 'Hydration']",Best,"“Glyco” means “sugar”, so glycoproteins are a type of protein linked to a sugar. They’re considered a type of peptide and are naturally present in skin’s surface as well as throughout the body. On skin, glycoproteins work with ingredients like glycerin, ceramides, and hyaluronic acids to keep skin intact, smooth, and healthy-looking. They can also enhance skin’s natural resilience by reinforcing skin barrier strength. Glycoproteins help other peptides be more soluble in water and within skin, so some products add them along with specific peptides as a way to enhance delivery and stability of the formula. References for this information: Experimental Dermatology, November 2016, pages 865-871 Clinical, Cosmetic, and Investigational Dermatology, December 2013, pages 317-323 American Journal of Infection Control, December 2006, pages S98-S110"
glycosaminoglycans,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/glycosaminoglycans.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Replenishing', 'Skin-Restoring']",Best,"Also known as mucopolysaccharides, these are a fundamental component of skin tissue, essentially a group of complex proteins. Chondroitin sulfate and hyaluronic acid are part of this ingredient group, all of which function as skin-replenishing and restoring ingredients."
glycosphingolipid,https://www.paulaschoice.com/ingredient-dictionary/skin-replenishing/glycosphingolipid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Replenishing'],Best,
glycyrrhetic acid,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/glycyrrhetic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,"One of the active, skin-soothing components of licorice extract."
glycyrrhetinic acid,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/glycyrrhetinic-acid.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Skin-Soothing']",Best,"One of the components of licorice root extract that’s believed to give this plant its ability to help calm skin and minimize signs of sensitization. This component of licorice root also functions as an antioxidant and may play a role in brightening and improving the look of an uneven skin tone.

References for this information: 
Evidence-Based Complementary and Alternative Medicine, January 2013, ePublication
International Journal of Toxicology, Volume 26, Supplement 2, 2007, pages 79-112
Bioorganic and Medicinal Chemistry, December 2003, pages 5,345-5,352
Immunology, January 1997, pages 115-120"
Glycyrrhiza glabra,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/glycyrrhiza-glabra.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,
Glycyrrhiza uralensis root extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/glycyrrhiza-uralensis-root-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,
goji fruit extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/goji-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"This bright, warm red berry, native to Asia, is a very good source of antioxidant compounds such as phenolic acids and flavonoids that can help defend the skin and body from environmental damage, resulting in numerous potential health benefits. The polysaccharides from this plant have also proven to be a boon for health, while the antioxidant component helps mitigate signs of environmental damage when applied to skin or consumed orally. Goji is often touted as a miracle for skin and body, but that’s stretching the truth. No question it’s a very good ingredient, but it’s not the best berry out there; rather, it’s one of several great berry ingredients to consider, and the more of those you include in your skin care and in your diet, the better. References for this information: Oxidative Medicine and Cellular Longevity, January 2019, ePublication Aging and Disease, December 2017, pages 778-791 Drug Design, Development and Therapy, Volume 9, 2015, pages 33-78"
gold,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/gold.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Sensitizing', 'Miscellaneous']",Poor,"Common sensitizer that can induce negative responses on skin, especially on the face and eyelids. Claims of gold helping to create electric charges in skin to trigger improvement in signs of aging are completely unproven.
Another form of gold used in skincare products is “colloidal gold,” which means that the gold particles have been nanosized (usually to 1–15 nanometers) so that it remains dispersed evenly throughout a solution. Although gold is a heavy metal, and heavy metals are subject to regulations, colloidal gold preparations are not regulated, so the risks are unknown. Initial research shows that it is fairly safe.
Colloidal gold also is used in the world of medicine, where there is a minor amount of research that it might have benefit because of assumed skin-soothing properties. Most of that research, however, is either very old or was performed on only a very small group of people, not enough to prove efficacy.
Even if gold were a good skin-soothing agent, its effects have never been compared with the effects of the numerous potent and stable skin-soothing ingredients that are commonly used in skincare products and that have a great deal of research proving their benefit and safety. What is for certain: There is no published research proving that gold, normal or colloidal in size, has any anti-aging benefits.
References for this information:
American Journal of Contact Dermatitis, March 2001, pages 3-5
Cutis, May 2000, pages 323-326"
Gossypium herbacuem seed oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/gossypium-herbacuem-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Plant Extracts'],Good,"Also known as cotton seed oil, this non-fragrant plant oil functions as an occlusive agent."
gotu kola,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/gotu-kola.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Antioxidants']",Best,
grapefruit oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/grapefruit-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",Poor,"Citrus oil whose volatile components (chiefly substances known as furocoumarins) are sensitizing to skin. Topical application of grapefruit oil may cause sensitizing reactions from its chief fragrance chemical, limonene.
References for this information:
Food and Chemical Toxicology, March 2012, pages 756-760
Journal of Agricultural and Food Chemistry, December 2005, pages 9,790-9,794"
grapefruit peel extract,https://www.paulaschoice.com/ingredient-dictionary/sensitizing/grapefruit-peel-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Sensitizing', 'Plant Extracts']",Poor,"Typically listed as Citrus grandis (grapefruit) peel extract on ingredient lists, the peel from this fruit is loaded with a class of ingredients known as furanocoumarins and coumarins, which are primarily responsible for what’s known as a phototoxic reaction that occurs when skin is exposed to the sun. Low amounts of this ingredients aren’t likely to be problematic, but watch out if it’s listed toward the beginning to middle of an ingredient list, especially if the product in question has a telltale grapefruit scent.
References for this information:
Food and Chemical Toxicology, March 2012, pages 756-60
Journal of Agricultural and Food Chemistry, December 2005, pages 9,790-9,794 and November 2013, pages 10,677-10,684"
grapefruit seed extract,https://www.paulaschoice.com/ingredient-dictionary/uncategorized/grapefruit-seed-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Uncategorized'],Poor,"Labelled as Citrus paradisi (grapefruit) seed extract, this is often claimed as a natural preservative when added to cosmetics. However, research has demonstrated that it is not an ideal preservative agent, as it cannot protect against both the most common forms of growth—even in sealed, pump-style packaging. [1,2,3] Yes, citrus extracts can have preservative-like benefits, but they're simply not strong enough to defend against from a broad range of substances necessary to properly preserve a skincare product.  References Cited:  von Woedtke T, Schlüter B, Pflegel P, Lindequist U, Jülich W. Aspects of the efficacy of grapefruit seed extract and its relation to preservative substances contained. Pharmazie. 1999;54(6):452-6. Cvetnic Z, Vladimir-Knezevic S. Preservative activity of grapefruit seed and pulp ethanolic extract. Acta Pharm. 2004;54(3):243-50. Takeoka G, Dao L, Wong R, Lundin R, Mahoney N. Identification of benzethonium chloride in commercial grapefruit seed extracts. J Agric Food Chem. 2001;49(7):3316-20."
grape seed extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/grape-seed-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Contains chemical constituents such as proanthocyanidins, polyphenols, flavonoids, and anthocyanins, all of which are very potent antioxidants that help to diminish environmental damage. Grape extract has also been shown to have soothing properties. Red grapes contain resveratrol, considered a very potent antioxidant.
References for this information:
Indian Journal of Experimental Biology, April 2016, pages 280-285
Cosmetics, August 2015, pages 259-276
Nutrients, January 2014, pages 391-414
Pharmacognosy Review, July-December 2011, pages 164-173"
grape seed oil,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/grape-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Emollients']",Best,"Emollient, non-fragrant plant oil derived from the seeds of grapes. This plant oil has strong antioxidant properties and its low saturation gives it a thinner texture and less greasy feel compared to highly saturated oils such as coconut.
References for this information:
Nutrition and Metabolic Insights, August 2016, pages 59-64
Food Chemistry, September 2011, pages 391-399
Archives of Dermatological Research, March 2010, pages 71-83"
green tea,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/green-tea.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants', 'Plant Extracts']",Best,"Research has established that topical application of green tea leaves or extracts have many benefits for skin, including anti-aging properties. The polyphenols in green tea possess potent antioxidant and skin-soothing properties, and show significant promise for improving the appearance of sun-damaged skin.Epigallocatechin gallate (EGCG) is one of the active constituents of green tea believed to be responsible for its many health and appearance benefits, both orally and topically.If you’re looking for green tea in your personal care products it may be listed by its Latin name, cameillia sinesis. It is a gentle antioxidant that is among the most well researched and impressive in terms of its many benefits; however, it’s not the best or the only antioxidants to look for, so stick with products that contain several antioxidants.References for this information:International Journal of Cosmetic Science, February 2015, pages 455-464Rheumatology, July 2010 EpublicationFood and Chemical Toxicology, April 2008, pages 1,298-1,307Journal of Photochemistry and Photobiology, December 2001, pages 109-141"
gromwell,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/gromwell.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts', 'Antioxidants']",Best,
guarana,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/guarana.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Sensitizing']",Poor,"Herb that contains two and a half times more caffeine than coffee. It can have constricting properties on skin and can therefore be a potential skin sensitizer. May also be listed as Paullinia cupana extract.
Reference for this information:
Internatinal Journal of Pharmaceutics, July 2006, pages 26-31"
guar gum,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/guar-gum.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Thickeners/Emulsifiers']",Good,Plant-derived thickening agent often used in products that are attempting to be (or are) mostly natural.
guar hydroxypropyltrimonium chloride,https://www.paulaschoice.com/ingredient-dictionary/thickeners%2Femulsifiers/guar-hydroxypropyltrimonium-chloride.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Thickeners/Emulsifiers', 'Texture Enhancer', 'Miscellaneous']",Good,"One of the most widely used synthetic cationic polymers in the cosmetics industry, this ingredient is often seen in conditioners and body washes. It functions as a conditioning agent for skin and hair, helps deposit active ingredients on skin and/or hair, and also provides anti-static properties without weighing hair down. References for this information: CosmeticsInfo.org, Accessed March 2021, ePublication  Cosmetics & Toiletries, March 2013, ePublication  Cosmetic Ingredient Review, March 2012, pages 1-43"
guava,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/guava.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
gums,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/gums.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Film-Forming/Holding Agents', 'Texture Enhancer']",Good,"Substances that have hydraitng properties, but that are used primarily as texture enhancers in cosmetics. Some gums have a sticky feel and are used as film-forming agents in hairsprays, while others can have sensitizing potential. Natural thickeners such as acacia, tragacanth, guar, and locust bean are the main types of gums used in cosmetics."
Haematococcus pluvialis extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/haematococcus-pluvialis-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
Hamamelis virginiana,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hamamelis-virginiana.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Sensitizing', 'Plant Extracts']",Poor,
hamamelitannin,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hamamelitannin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Sensitizing']",Poor,Tannin that is found in witch hazel. It can be a skin sensitizer but it also has potent antioxidant properties.
Haslea ostrearia extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/haslea-ostrearia-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Emollients', 'Texture Enhancer', 'Thickeners/Emulsifiers', 'Plant Extracts']",Good,Extract derived from a water plant also known as blue algae.
hayflower extract,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/hayflower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Sensitizing']",Poor,"Plant extract that, due to its constricting effect on skin, can be skin aggravating. There is no research supporting the claim that it has any effect on skin."
hazelnut oil,https://www.paulaschoice.com/ingredient-dictionary/emollients/hazelnut-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Emollients'],Good,Oil extracted from the hazelnut and that is used as an emollient.
hectorite,https://www.paulaschoice.com/ingredient-dictionary/texture-enhancer/hectorite.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Texture Enhancer'],Good,"A type of clay used in cosmetics that enhances texture by imparting a smooth, silky feel. References for this information:Bioprocess and Biosystems Engineering, December 2015, pages 2,451-2,460"
Hedera helix,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/hedera-helix.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Sensitizing']",Poor,
hedione,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/hedione.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",Poor,"Synthetic fragrant component in products, which also can be a skin sensitizer."
Helianthus annuus (sunflower) seed oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/helianthus-annuus-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients', 'Antioxidants']",Best,"Helianthus annuus (sunflower) seed oil is a non-volatile, non-fragrant plant oil used as an emollient in cosmetics. Sunflower seed oil’s 60% (on average) linoleic acid content has the ability to help replenish, strengthen, and soothe skin. This oil also contains other beneficial fatty acids skin can use, including oleic, palmitic, stearic, and a small amount of omega-3 linolenic acid. Sunflower oil is particularly beneficial for dry, dehydrated, or environmentally compromised skin because its linoleic acid content helps skin synthesize its own lipids (fats), including ceramides, visibly repairing its barrier and leading to smoother, healthier-looking skin. Sunflower seed oil also has a natural calming effect on skin, so can be helpful for reducing signs of skin stress or irritation. In fact, research on infants with atopic dermatitis has shown that topical sunflower oil is a viable ingredient to alternate with topical steroids normally prescribed to control symptoms of this skin disorder. References for this information: Pediatric Dermatology, August 2018, ePublication; and January-February 2013, pages 42-50 Chemicke Zvesti, May 2018, pages 2,607-2,615 International Journal of Molecular Sciences, December 2017, ePublication Dermatology, October 2014, pages 230-239"
Helianthus oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/helianthus-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients']",Best,
hemp seed oil,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/hemp-seed-oil.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Emollients']",Best,"From the hemp plant, Cannabis sativa. Because both hemp and marijuana are from the genus Cannabis, they are often thought (erroneously) to have similar properties. In cosmetics, hemp seed oil is used as an emollient and to supply skin with omega fatty acids it needs to replenish itself and strengthen its surface against moisture loss. Specifically, hemp seed oil contains the omega-3 fatty acid alpha-linolenic acid and the omega-6 fatty acid linoleic acid. Hemp seed oil also contains beneficial phospholipids, plant sterols, amino acids (it’s especially high in the amino acid arginine) and is a rich source of antioxidant vitamin E. Another benefit of hemp seed oil is that it seems to enhance the benefits of cannabidiol, also known as CBD. This is likely due to the interaction between trace amounts of cannabinoids in hemp seed oil and pure cannabidiol. References for this information: Frontiers in Plant Science, February 2019, ePublication Journal of Pharmaceutical and Biomedical Analysis, February 2018, pages 532-540 Molecules, May 2017, ePublication Journal of Cosmetic Science, July-August 2005, pages 227-251 Euphytica, January 2004, pages 65-74"
hesperidin,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hesperidin.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Flavonoid found in various plants such as citrus and evening primrose oil. It has potential as an antioxidant.
References for this information:
Photochemistry and Photobiology, September 2003, pages 256–261"
hesperidin methyl chalcone,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hesperidin-methyl-chalcone.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Good,"Hesperidin methyl chalcone is a synthetic antioxidant that helps protect skin from UV damage. Research also shows it possess soothing and anti-redness properties. References for this information: Prospector Methyl Chalcone, Accessed March 2021, ePublication  Clinical, Cosmetic and Investigational, September 2018, pages 421-429  Photochemical & Photobiological Sciences, March 2016, pages 554-563"
hexanoyl dipeptide-3 norleucine acetate,https://www.paulaschoice.com/ingredient-dictionary/skin-restoring/hexanoyl-dipeptide-3-norleucine-acetate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Skin-Restoring'],Best,"A synthetic peptide that helps skin’s surface shed properly plus speeds up surface renewal for fresher, more vibrant-looking skin. The manufacturer has named this peptide “PerfectionPeptide P3” for its ability to refine skin’s appearance by smoothing the surface so it’s better able to reflect light and also maintain hydration. This peptide works by competing with proteins on skin’s surface that, when damaged, can impede exfoliation. It steps in to enhance skin’s ability to shed, and nicely complements the multi-level benefits AHAs and BHA ingredients provide. References for this information:International Journal for Applied Science, March 2006, pages 1-6"
hexyl cinnamal,https://www.paulaschoice.com/ingredient-dictionary/fragrance-synthetic-and-fragrant-plant-extracts/hexyl-cinnamal.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Fragrance: Synthetic and Fragrant Plant Extracts', 'Sensitizing']",Poor,"Fragrance ingredient used in many perfumes and often seen in fragranced skincare products. Hexyl cinnamal imparts a jasmine-like scent. It’s considered a skin sensitizer, which is why it must be called out on an ingredient statement, whereas in the past a cosmetics company could lump ingredients like hexyl cinnamal into the catchall term “fragrance.”
References for this information:
Cutaneous and Ocular Toxicology, 2015, pages 227-231
Contact Dermatitis, November 2010, pages 262-269"
hexyldecanol,https://www.paulaschoice.com/ingredient-dictionary/emollients/hexyldecanol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Softening']",Good,"A synthetic, non-drying fatty alcohol used as an emollient and skin-softening agent."
hexylene glycol,https://www.paulaschoice.com/ingredient-dictionary/slip-agents/hexylene-glycol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Slip Agents'],Good,
hexyl laurate,https://www.paulaschoice.com/ingredient-dictionary/emollients/hexyl-laurate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Emollients', 'Skin-Softening']",Good,Skin-softening agent and emollient that is a mixture of hexyl alcohol and lauric acid.
hexylresorcinol,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hexylresorcinol.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Average,Hexylresorcinol is a synthetic ingredient that has been shown to have skin-brightening ability but there is very limited research about it on skin. It is mostly an antioxidant.
hibiscus,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hibiscus.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Skin-Restoring', 'Plant Extracts']",Good,"Any of numerous types of fragrant flowers that convey antioxidant ability. According to Natural Medicine's Comprehensive Database, ""The applicable part of hibiscus is the flower, calyx or sepal, leaves, stems, and seeds. Sepal extracts contain significant amounts of vitamin C, anthocyanins, and polyphenols. The sepal also contains the highest concentration of water-soluble antioxidants."" They go on to state that the seed and leaf of hibiscus also contain significant amounts of vitamin E and that hibiscus seeds contain the highest concentration of lipid soluble antioxidants. Despite the impressive research building for various types of hibiscus, it remains a fragrant plant, with some types being notably more fragrant than others. Because fragrance is a source of sensitivity, hibiscus isn't among the top antioxidants we'd recommend you look for when shopping for skincare, though the fragrance concern is primarily when the whole plant is used rather than isolated extracts, which may be less (or minimally) fragrant."
Himanthalia elongate extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/himanthalia-elongate-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts', 'Thickeners/Emulsifiers', 'Emollients']",Good,Extract of a species of algae.
Hippophae rhamnoides,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hippophae-rhamnoides.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,
Hippophae Rhamnoides (seaberry) fruit extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hippophae-rhamnoides-seaberry-fruit-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Best,"Also known as sea buckthorn, this berry is a good source of vitamin C as well as various B vitamins, vitamin E, lycopene, phytosterols, and numerous phenolic compounds that provide antioxidant benefit.A unique aspect of this fruit extract is its ability to help stabilize elements in skin that would normally break down in the presence of peroxide and other types of free radicals. Like other berries, it also has a pronounced soothing effect on skin.References for this information:Planta Medica, January 2018, pages 26-33Oxidative Medicine and Cellular Longevity, January 2016, ePublicationISRN Pharmacology, March 2012, ePublicationJournal of Food Science, November 2008, pages C615-C620"
histidine,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/histidine.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Antioxidants'],Good,
hoelen,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/hoelen.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Preservatives']",Best,"A mushroom that grows underground on the roots of pines and other trees around the world. It has preservative, soothing, and water-binding properties when applied topically
Reference for this information:
BioMed Central (BMC) Complementary and Alternative Medicine, 2001, volume 1, issue 1, page 2"
homosalate,https://www.paulaschoice.com/ingredient-dictionary/sunscreen-actives/homosalate.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,['Sunscreen Actives'],Best,"Homosalate is an FDA-approved sunscreen active ingredient that provides primarily UVB protection. Its UVA range is very narrow, and so it is not used alone in sunscreens. Homosalate is internationally approved for use in sunscreens, up to a maximum concentration of 15%. It’s considered non-sensitizing, and is most often seen in sunscreens rated SPF 30 and greater.This sunscreen active is one of several currently undergoing further safety testing under the purview of the United States Food and Drug Administration (FDA). This testing is to gain a better understanding of the systemic absorption, metabolism, and elimination of these sunscreen actives when small amounts enter the body via topical use. It’s important to know that the presence of this or other sunscreen actives in the body does not mean your health is at risk. It is anticipated that the additional testing being done will reaffirm the safety of these ingredients; however, those who remain concerned can choose sunscreens with mineral actives (titanium dioxide and zinc oxide) which are not included in the FDA’s new call for additional testing.References for this information:Journal of Clinical Aesthetic Dermatology, 2013, issue 1, pages 16-26Journal of the American Academy of Dermatology, 2013, issue 6, page 867"
honey,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/honey.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Vitamins', 'Antioxidants']",Best,"Honey is a substance?produced by bees from the nectar of flowering plants. Composed primarily of the sugars fructose and glucose and consumed as food, honey also has?benefits?in?skin care due to its amino acid, peptide, antioxidant,?and natural?antibacterial composition.?Antioxidants found in honey include?vitamins A, C, and E as well as flavonoid compounds?triacetin, quercetin, and luteolin. The primary research on honey and skin has to do with its multi-faceted role in soothing various concerns. Dark honeys have a stronger antioxidant effect than light honeys. Regular honey is also known as clarified honey or purified honey—this is the type most grocery stores sell. Along with?antioxidant and soothing properties, honey?also works on skin's surface by forming a barrier that helps reduce?the buildup?of?harmful substances?which?can impede healing. Is honey vegan? Technically, no. As it comes from bees, it is considered an animal (insect) byproduct. Although the starting point for honey is nectar from flowering plants, the bee itself makes the honey via digestive enzymes in its stomach and a regurgitation process that’s shared with other bees, followed by dehydration and storage in wax structures known as honeycombs. The bees use honey as a food source in the wild; however, when bees are carefully and ethically farmed, the hive’s workers produce much more honey than the colony needs to thrive. The excess is used as sweetener by people and in various skin care products. References for this information: Iranian Journal of Basic Medical Sciences, December 2019, pages 1,368-1,377 Bioengineering, Volume 5, June 2018, ePublication Journal of Functional Biomaterials, June 2018,?ePublication Biomedicine and Pharmacotherapy, August 2017, pages 849-855 Wounds, June 2015, pages 141-151 The Cochrane Database of Systemic Reviews, March 2015,?ePublication Foods, July 2014, pages 420-432 PeerJ., March 2014,?eCollection, 2014 Journal of Cosmetic Dermatology, December 2013, pages 306-313 Burns & Trauma, June 2013, pages 32-38 The Asian Pacific Journal of Tropical Biomedicine, April 2011, pages 154-160"
honey extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/honey-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Antioxidants', 'Vitamins']",Best,
honeysuckle flower extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/honeysuckle-flower-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Best,"Plant extract that functions as an skin-soothing agent. It is a very good source of flavonoids and saponins, constituents that occur in many plants and convey antioxidant benefit."
hops,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hops.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,"There is no research showing that hops have any benefit for skin. However, components in hops may have antioxidant properties."
Hordeum vulgare extract,https://www.paulaschoice.com/ingredient-dictionary/antioxidants/hordeum-vulgare-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Antioxidants', 'Plant Extracts']",Average,"More commonly known as barley extract, this plant is a source of gluten."
horse chestnut extract,https://www.paulaschoice.com/ingredient-dictionary/skin-soothing/horse-chestnut-extract.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Skin-Soothing', 'Plant Extracts']",Good,"May have skin-soothing properties for skin.
Reference for this information:
American Journal of Clinical Dermatology, 2002, issue 5, pages 341-348"
horse elder,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/horse-elder.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Sensitizing']",Poor,
horseradish,https://www.paulaschoice.com/ingredient-dictionary/plant-extracts/horseradish.html?fdid=ingredient-dictionary&csortb1=name&csortd1=1,"['Plant Extracts', 'Sensitizing']",Poor,Plant that can sensitize skin and should never be applied to abraded skin.
